Array Size,CPUCompactWithScan,CPUCompactWithoutuScan,CPUScan,EfficientBankOptimizedSharedMemScan,EfficientCompact,EfficientScan,EfficientSharedMemScan,NaiveScan,RadixSort,ThrustScan
256,0.00312,0.00018,0.0001,0.0139264,0.1664,0.330854,0.0183296,0.042496,0.0299008,0.224973
1024,0.0041,0.00078,0.00024,0.0106496,0.179814,0.420966,0.0118784,0.0838656,0.0769024,0.0295936
8192,0.03728,0.00944,0.00291,0.0196608,0.234394,0.443187,0.022528,0.0986112,0.108851,0.0304128
32768,0.13038,0.05933,0.00854,0.0489184,0.262406,0.532586,0.0482336,0.177744,0.213395,0.0769472
131072,0.49113,0.21795,0.03016,0.0634368,0.362787,0.607254,0.0605696,0.155574,0.168806,0.0520704
1048576,4.091855,2.2565266666666663,0.32417333333333337,0.111488,0.5056456666666667,1.0140226666666667,0.137469,0.4068615,0.46172366666666664,0.146208
4194304,16.8136,8.59004,2.07581,0.353306,1.32138,1.75386,0.422819,1.706,2.1252,0.203578
16777216,68.0669,34.5437,8.79466,0.0025472,8.11009,7.4386,0.0025632,17.7327,15.6761,0.677619
67108864,439.386,151.334,33.1646,0.0027392,34.6541,25.291,0.0029728,79.3013,93.8617,2.72899
